index|날짜|호선|역번호|역명|구분|05 ~ 06|06 ~ 07|07 ~ 08|08 ~ 09|09 ~ 10|10 ~ 11|11 ~ 12|12 ~ 13|13 ~ 14|14 ~ 15|15 ~ 16|16 ~ 17|17 ~ 18|18 ~ 19|19 ~ 20|20 ~ 21|21 ~ 22|22 ~ 23|23 ~ 24|00 ~ 01|합 계
29190|2019-02-23|2호선|211|성수|승차-하차|||||||||||-438|-352|||||710|543|||
29192|2019-02-23|2호선|212|건대입구|승차-하차|||||||||||-1044|-1144|||||1148|2116|||
29244|2019-02-23|2호선|238|합정|승차-하차|||||||||||-958|-652|||||1725|2007|||
29246|2019-02-23|2호선|239|홍대입구|승차-하차|||||||||||-4836|-3792|||||5822|7593|||
29248|2019-02-23|2호선|240|신촌|승차-하차|||||||||||-401|-322|||||2218|3063|||
29290|2019-02-23|3호선|319|종로3가|승차-하차|||||||||||-721|-542|||||439|429|||
29294|2019-02-23|3호선|322|동대입구|승차-하차|||||||||||-430|-204|||||477|263|||
29354|2019-02-23|4호선|418|성신여대입구(돈암)|승차-하차|||||||||||-92|-212|||||24|35|||
29358|2019-02-23|4호선|420|혜화|승차-하차|||||||||||-1639|-550|||||4137|3967|||
29366|2019-02-23|4호선|424|명동|승차-하차|||||||||||-1105|-198|||||2221|2470|||
29374|2019-02-23|4호선|428|삼각지|승차-하차|||||||||||-166|-146|||||34|29|||
29422|2019-02-23|5호선|2528|여의나루|승차-하차|||||||||||-218|-112|||||585|335|||
29448|2019-02-23|5호선|2541|왕십리(성동구청)|승차-하차|||||||||||-97|-88|||||66|68|||
29510|2019-02-23|6호선|2622|망원|승차-하차|||||||||||-379|-432|||||289|145|||
29514|2019-02-23|6호선|2624|상수|승차-하차|||||||||||-443|-462|||||448|720|||
29526|2019-02-23|6호선|2630|녹사평(용산구청)|승차-하차|||||||||||-278|-171|||||379|594|||
29530|2019-02-23|6호선|2632|한강진|승차-하차|||||||||||-528|-81|||||2248|1084|||
29600|2019-02-23|7호선|2729|건대입구|승차-하차|||||||||||-182|-77|||||697|788|||
29674|2019-02-23|8호선|2815|잠실(송파구청)|승차-하차|||||||||||-240|-223|||||1137|1058|||
29680|2019-02-23|8호선|2818|가락시장|승차-하차|||||||||||-16|-94|||||87|61|||
